setting,client,own_test_acc,global_test_acc
a60,0,0.819,0.5838
a60,1,0.7112,0.5367
a60,2,0.7272,0.5416
a60,3,0.6,0.4711
a60,4,0.5459,0.4136
a60,5,0.3558,0.2883
a60m,0,0.8157,0.5774
a60m,1,0.7632,0.5778
a60m,2,0.7744,0.588
a60m,3,0.7126,0.5705
a60m,4,0.6975,0.5401
a60m,5,0.6243,0.52
a60n,0,0.8282,0.5788
a60n,1,0.7334,0.5475
a60n,2,0.7069,0.5252
a60n,3,0.6065,0.4801
a60n,4,0.5584,0.4066
a60n,5,0.4494,0.3605
f6r,0,0.8168,0.576
f6r,1,0.783,0.5827
f6r,2,0.7999,0.6066
f6r,3,0.7563,0.6104
f6r,4,0.7942,0.6191
f6r,5,0.7483,0.6231
